Time (s),[Cit] (uM),[Cpi]_0 (mM)
0,0,0.015
5,0.851452208915003,0.015
15,0.982444856440388,0.015
25,1.83389706535539,0.015
35,2.48886030298232,0.015
50,1.96488971288078,0.015
70,3.07832721684655,0.015
120,4.19176472081232,0.015
0,0,0.075
5,1.83389706535539,0.075
15,3.86428310199886,0.075
30,6.09115810993041,0.075
60,10.9378860683697,0.075
90,16.1120956456224,0.075
120,19.6488971288078,0.075
240,32.6171692338209,0.075
0,0,0.5
10,10.9378860683697,0.5
60,50.8251472398494,0.5
120,105.58007390546,0.5
210,170.552427078051,0.5
270,196.161489669264,0.5
360,264.605148001278,0.5
480,277.31143481124,0.5
0,0,1
60,87.6995775182453,1
120,165.247224853273,1
300,354.66259317498,1
420,457.688310453695,1
510,528.227851146115,1
600,599.946325666264,1
720,631.450057396119,1
0,0,2.5
60,139.834651233349,2.5
240,543.488494582823,2.5
600,1130.40105182031,2.5
780,1429.78474773958,2.5
990,1669.82877432985,2.5
1110,1692.81798397055,2.5
1260,1792.50338873737,2.5
0,0,5
60,195.244541136586,5
240,1092.54417668547,5
600,1761.98210186395,5
780,2246.19642344154,5
1200,2714.36414569727,5
1500,3248.29017701074,5
1800,3253.85736453056,5
