Time (s),[Orn] (uM),[Cit]_0 (mM)
0,0,5
10,7.00021196745634,5
30,11.7327496355958,5
90,11.9299387051017,5
180,28.0994424045783,5
360,31.2544675166713,5
600,37.5645177408573,5
1800,53.3396433013223,5
7200,90.6083774379208,5
0,0,20
30,0,20
90,22.7424726830037,20
180,45.4192156761721,20
360,55.2786691514628,20
600,62.9690428621895,20
1800,96.096806539166,20
3600,92.9417814270729,20
7200,96.6883737476834,20
0,0,35
10,13.2116676568894,35
30,42.0012718047381,35
90,58.3679645737205,35
180,74.9318464122088,35
360,79.8615731498541,35
1800,116.538740077935,35
7200,148.680558407383,35
0,2.16907976456393,50
10,26.2261462442731,50
30,59.945477129767,50
90,87.1575687215691,50
180,98.2001566138947,50
360,138.42672679308,50
600,143.948020739243,50
1800,154.00466328404,50
3600,168.399465357964,50
7200,193.639666254708,50
