Time (s),[Cit] (uM),[Orn]_0 (mM)
0,0.390533596231459,0.25
10,5.26890715776302,0.25
30,17.5850744032865,0.25
40,27.7153298114212,0.25
60,36.8407295433563,0.25
120,69.0826485615258,0.25
300,140.429180275223,0.25
600,199.637441425976,0.25
10,7.38927557340788,0.5
40,51.4177306211504,0.5
60,97.9105043831372,0.5
120,136.303762515631,0.5
180,199.092918135533,0.5
300,284.619223952697,0.5
0,0,0.7
10,5.9503579166473,0.7
40,55.0169332757645,0.7
60,89.2416823434466,0.7
120,183.567988194962,0.7
180,263.427517979553,0.7
300,387.313877346118,0.7
600,561.931470251881,0.7
0,21.4356099061484,1
20,43.0414775971368,1
60,128.023638703261,1
120,147.183780309267,1
240,417.113585309255,1
360,578.164241007561,1
600,777.941415013655,1
900,893.798591741179,1
0,0,5
20,72.7443637859073,5
60,206.108015636232,5
120,368.615187360498,5
300,1022.25602557221,5
480,1612.44976155625,5
600,1873.39490909056,5
900,2489.32889378889,5
0,0,10
20,62.9470073389708,10
60,207.298585635171,10
120,412.500655529317,10
300,959.47457293772,10
480,1482.65451874939,10
600,1812.51373576792,10
900,2437.28592674669,10
