init_arg_con_out_uM,init_orn_con_in_mM,init_orn_con_out_nM_estimated,Time_s,arg_nmol_mg_arcd,ArcD_mg,replicate,arg_nmol
1,0.5,23,0,0,0.000818,1,0
1,0.5,23,5,20.62,0.000818,1,0.0169
1,0.5,23,10,28.14,0.000818,1,0.023
1,0.5,23,25,36.72,0.000818,1,0.03
1,0.5,23,40,37.79,0.000818,1,0.0309
1,0.5,23,60,47.53,0.000818,1,0.0389
1,0.5,23,90,46.84,0.000818,1,0.0383
2,0.5,23,0,0,0.000818,1,0
2,0.5,23,5,28.561,0.000818,1,0.0233
2,0.5,23,10,39.493,0.000818,1,0.0323
2,0.5,23,25,57.994,0.000818,1,0.0474
2,0.5,23,40,55.113,0.000818,1,0.0451
2,0.5,23,60,71.028,0.000818,1,0.0581
2,0.5,23,90,78.254,0.000818,1,0.064
5,0.5,23,0,0,0.000818,1,0
5,0.5,23,5,43.189,0.000818,1,0.0353
5,0.5,23,10,51.46,0.000818,1,0.0421
5,0.5,23,25,80.105,0.000818,1,0.0655
5,0.5,23,40,82.929,0.000818,1,0.0678
5,0.5,23,60,105.17,0.000818,1,0.086
5,0.5,23,90,106.178,0.000818,1,0.0868
10,0.5,23,0,0,0.000818,1,0
10,0.5,23,5,53.481,0.000818,1,0.0437
10,0.5,23,10,62.969,0.000818,1,0.0515
10,0.5,23,25,87.781,0.000818,1,0.0718
10,0.5,23,40,92.348,0.000818,1,0.0755
10,0.5,23,60,110.361,0.000818,1,0.0902
10,0.5,23,90,123.046,0.000818,1,0.101
25,0.5,23,0,0,0.000818,1,0
25,0.5,23,5,74.512,0.000818,1,0.0609
25,0.5,23,10,98.13,0.000818,1,0.0802
25,0.5,23,25,117.693,0.000818,1,0.0962
25,0.5,23,40,126.361,0.000818,1,0.103
25,0.5,23,60,137.335,0.000818,1,0.112
25,0.5,23,90,132.484,0.000818,1,0.108
50,0.5,23,0,0,0.000818,1,0
50,0.5,23,5,57.052,0.000818,1,0.0466
50,0.5,23,10,77.655,0.000818,1,0.0635
50,0.5,23,25,105.23,0.000818,1,0.086
50,0.5,23,40,110.143,0.000818,1,0.09
50,0.5,23,60,131.062,0.000818,1,0.107
50,0.5,23,90,154.834,0.000818,1,0.127
100,0.5,23,0,0,0.000818,1,0
100,0.5,23,5,33.284,0.000818,1,0.0272
100,0.5,23,10,61.836,0.000818,1,0.0506
100,0.5,23,25,97.17,0.000818,1,0.0794
100,0.5,23,40,135.502,0.000818,1,0.111
100,0.5,23,60,135.345,0.000818,1,0.111
100,0.5,23,90,168.471,0.000818,1,0.138
1,2.5,110,0,0,0.000818,1,0
1,2.5,110,5,27.79143,0.000818,1,0.0227
1,2.5,110,10,39.90329,0.000818,1,0.0326
1,2.5,110,25,44.86441,0.000818,1,0.0367
1,2.5,110,40,47.60527,0.000818,1,0.0389
1,2.5,110,60,48.70774,0.000818,1,0.0398
1,2.5,110,90,45.56876,0.000818,1,0.0373
2,2.5,110,0,0,0.000818,1,0
2,2.5,110,5,42.32231,0.000818,1,0.0346
2,2.5,110,10,64.15649,0.000818,1,0.0524
2,2.5,110,25,69.74416,0.000818,1,0.057
2,2.5,110,40,82.98554,0.000818,1,0.0678
2,2.5,110,60,104.13104,0.000818,1,0.0851
2,2.5,110,90,98.80945,0.000818,1,0.0808
5,2.5,110,0,0,0.000818,1,0
5,2.5,110,5,79.38482,0.000818,1,0.0649
5,2.5,110,10,113.38418,0.000818,1,0.0927
5,2.5,110,25,141.87587,0.000818,1,0.116
5,2.5,110,40,163.27111,0.000818,1,0.133
5,2.5,110,60,236.88345,0.000818,1,0.194
5,2.5,110,90,225.86807,0.000818,1,0.185
10,2.5,110,0,0,0.000818,1,0
10,2.5,110,5,100.14335,0.000818,1,0.0819
10,2.5,110,10,155.17369,0.000818,1,0.127
10,2.5,110,25,239.57869,0.000818,1,0.196
10,2.5,110,40,260.59909,0.000818,1,0.213
10,2.5,110,60,308.02974,0.000818,1,0.252
10,2.5,110,90,343.33324,0.000818,1,0.281
25,2.5,110,0,0,0.000818,1,0
25,2.5,110,5,143.84844,0.000818,1,0.118
25,2.5,110,10,207.37217,0.000818,1,0.17
25,2.5,110,25,327.37922,0.000818,1,0.268
25,2.5,110,40,316.41857,0.000818,1,0.259
25,2.5,110,60,419.94465,0.000818,1,0.343
25,2.5,110,90,473.54779,0.000818,1,0.387
50,2.5,110,0,0,0.000818,1,0
50,2.5,110,5,140.13423,0.000818,1,0.115
50,2.5,110,10,202.95302,0.000818,1,0.166
50,2.5,110,25,294.28188,0.000818,1,0.241
50,2.5,110,40,410.73826,0.000818,1,0.336
50,2.5,110,60,534.60403,0.000818,1,0.437
50,2.5,110,90,509.95973,0.000818,1,0.417
100,2.5,110,0,0,0.000818,1,0
100,2.5,110,5,193.39775,0.000818,1,0.158
100,2.5,110,10,204.02576,0.000818,1,0.167
100,2.5,110,25,428.18035,0.000818,1,0.35
100,2.5,110,40,495.49114,0.000818,1,0.405
100,2.5,110,60,612.56039,0.000818,1,0.501
100,2.5,110,90,646.53784,0.000818,1,0.529
1,2.5,110,0,0,0.000818,2,0
1,2.5,110,5,29.23484,0.000818,2,0.0239
1,2.5,110,10,39.68437,0.000818,2,0.0324
1,2.5,110,25,46.39113,0.000818,2,0.0379
1,2.5,110,40,50.4438,0.000818,2,0.0412
1,2.5,110,60,50.8888,0.000818,2,0.0416
1,2.5,110,90,46.01765,0.000818,2,0.0376
2,2.5,110,0,0,0.000818,2,0
2,2.5,110,5,41.8164,0.000818,2,0.0342
2,2.5,110,10,64.70219,0.000818,2,0.0529
2,2.5,110,25,71.28884,0.000818,2,0.0583
2,2.5,110,40,84.55781,0.000818,2,0.0691
2,2.5,110,60,106.07205,0.000818,2,0.0867
